page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
63,2311256,Plastic Bag,https://genius.com/Drake-and-future-plastic-bag-lyrics,/Drake-and-future-plastic-bag-lyrics,https://images.genius.com/856d23cafd5a7afd935b2dba87c3140f.1000x1000x1.jpg,12,42,568186,Drake & Future,https://genius.com/artists/Drake-and-future,https://images.genius.com/b033687222fde407fb97ca135c4192e1.452x452x1.jpg
63,2925372,Foldin Clothes,https://genius.com/J-cole-foldin-clothes-lyrics,/J-cole-foldin-clothes-lyrics,https://images.genius.com/e8867c7f0c8a290e03aaa2fbc804fdbf.600x600x1.jpg,8,28,69,J. Cole,https://genius.com/artists/J-cole,https://images.genius.com/2cd936e786e1ab454043327d585c7702.1000x1000x1.jpg
63,4451,Cut You Off (To Grow Closer),https://genius.com/Kendrick-lamar-cut-you-off-to-grow-closer-lyrics,/Kendrick-lamar-cut-you-off-to-grow-closer-lyrics,https://images.genius.com/9e1efc6d0a7044dbf2f0776a12ed85b8.620x620x1.jpg,13,72,1421,Kendrick Lamar,https://genius.com/artists/Kendrick-lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg
63,197891,Love In The Sky,https://genius.com/The-weeknd-love-in-the-sky-lyrics,/The-weeknd-love-in-the-sky-lyrics,https://images.genius.com/26cb37fd64d39978d69f90e09b0d3a83.1000x1000x1.jpg,20,72,2358,The Weeknd,https://genius.com/artists/The-weeknd,https://images.genius.com/3cd68c66d12d757c908ddbdcefb581e8.441x441x1.jpg
64,90471,Compton,https://genius.com/Kendrick-lamar-compton-lyrics,/Kendrick-lamar-compton-lyrics,https://images.genius.com/08bd7e3fd36bc6cf8fca520c5e475903.923x919x1.jpg,46,85,1421,Kendrick Lamar,https://genius.com/artists/Kendrick-lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg
64,6758,The Rose That Grew From Concrete,https://genius.com/2pac-the-rose-that-grew-from-concrete-lyrics,/2pac-the-rose-that-grew-from-concrete-lyrics,https://images.genius.com/866e68770deafd17a70d2918c7819b81.817x1000x1.jpg,6,31,59,2Pac,https://genius.com/artists/2pac,https://images.genius.com/b07c835641eedf27637bed3244e975ab.362x362x1.jpg
64,130619,Bow Down,https://genius.com/Beyonce-bow-down-lyrics,/Beyonce-bow-down-lyrics,https://images.genius.com/9d3b9f5497869afb5d2be45a4526fd80.754x751x1.jpg,24,33,498,Beyoncé,https://genius.com/artists/Beyonce,https://images.genius.com/995535bff9a0a15e5f1840990707d61d.399x399x1.jpg
64,61963,Outside,https://genius.com/The-weeknd-outside-lyrics,/The-weeknd-outside-lyrics,https://images.rapgenius.com/dncafws9usq8zvqlzr3k1fwby.1000x1000x1.jpg,5,55,2358,The Weeknd,https://genius.com/artists/The-weeknd,https://images.genius.com/3cd68c66d12d757c908ddbdcefb581e8.441x441x1.jpg
64,591746,Fight Song,https://genius.com/Rachel-platten-fight-song-lyrics,/Rachel-platten-fight-song-lyrics,https://images.rapgenius.com/941e48ad2aeb21c41eb5bf3801348647.1000x1000x1.jpg,6,99,271204,Rachel Platten,https://genius.com/artists/Rachel-platten,https://images.genius.com/9821312157a2cd261654580b3d87aa69.413x413x1.jpg
64,112046,The Great Gatsby (Chapter III),https://genius.com/F-scott-fitzgerald-the-great-gatsby-chapter-iii-annotated,/F-scott-fitzgerald-the-great-gatsby-chapter-iii-annotated,https://images.genius.com/0a131ed8e58da3310e81d3e11e4b16b8.531x800x1.png,198,29,23550,F. Scott Fitzgerald,https://genius.com/artists/F-scott-fitzgerald,https://s3.amazonaws.com/rapgenius/3190.jpg
64,3842260,Bands,https://genius.com/Shoreline-mafia-bands-lyrics,/Shoreline-mafia-bands-lyrics,https://images.genius.com/5597704873b35f21c0bd3f39d793656f.1000x1000x1.jpg,6,16,1149818,Shoreline Mafia,https://genius.com/artists/Shoreline-mafia,https://images.genius.com/674eddda8b193b8b4e866e65e1ed940d.1000x1000x1.jpg
64,54470,Thursday,https://genius.com/The-weeknd-thursday-lyrics,/The-weeknd-thursday-lyrics,https://images.rapgenius.com/clepahsbj1yiuf6t2cpw0ef.1000x1000x1.jpg,4,67,2358,The Weeknd,https://genius.com/artists/The-weeknd,https://images.genius.com/3cd68c66d12d757c908ddbdcefb581e8.441x441x1.jpg
64,306272,I Fuck Sluts,https://genius.com/Bo-burnham-i-fuck-sluts-lyrics,/Bo-burnham-i-fuck-sluts-lyrics,https://images.genius.com/a0ba528283d21d7648fcca0529b85881.884x884x1.jpg,14,85,979,Bo Burnham,https://genius.com/artists/Bo-burnham,https://s3.amazonaws.com/rapgenius/BoBurnham.jpg
64,2427392,Work from Home,https://genius.com/Fifth-harmony-work-from-home-lyrics,/Fifth-harmony-work-from-home-lyrics,https://images.genius.com/a89fcace9b6c4aa114637eb11575c54a.700x313x1.png,15,48,60437,Fifth Harmony,https://genius.com/artists/Fifth-harmony,https://images.genius.com/357e0be14e32a48ef2120ea81f0ebd64.400x400x1.jpg
65,2972337,Big for Your Boots,https://genius.com/Stormzy-big-for-your-boots-lyrics,/Stormzy-big-for-your-boots-lyrics,https://images.genius.com/7bb6e11ec2fa4e8ce6293eb27c37e2b9.1000x1000x1.jpg,17,23,212456,Stormzy,https://genius.com/artists/Stormzy,https://images.genius.com/3448ab559c4676d1aaf11fdebf52f28c.407x407x1.jpg
65,2016749,Tempête,https://genius.com/Nekfeu-tempete-lyrics,/Nekfeu-tempete-lyrics,https://images.genius.com/1896d69e2828c0bcae3fccabfafbe16d.870x489x1.jpg,30,124,13063,Nekfeu,https://genius.com/artists/Nekfeu,https://images.genius.com/5f89988a816404d2f29ad1925e639058.489x489x1.png
